"exetainer_ID","ch4_ppm","ch4_retention_time","ch4_peak_area","ch4_peak_height","co2_ppm","co2_retention_time","co2_peak_area","co2_peak_height","machineID","gc_date","gc_time"
"KLH 1039",1851.17397438603,2.47,11854.097,2212.731,4544.81299550989,3.386,20737.994,4932.656,1556,"7/1/2018",14:08:13
"KLH 1074",1363.04651959695,2.466,8728.3453,1632.8,8956.69674705765,3.426,40869.4315,4919.605,1557,"7/1/2018",14:13:48
"KLH 1088",4078.9492995575,2.46,26119.782,4849.23,3981.56612383459,3.393,18167.897,4544.567,1558,"7/1/2018",14:18:34
"KLH 1038",240.655675907691,2.466,1541.0522,283.376,7996.53200870284,3.426,36488.1972,4432.346,1559,"7/1/2018",14:23:14
"KLH 1006",3152.5544487875,2.493,20187.5603,4782.396,5224.10205125433,3.446,23837.5918,4958.874,1560,"7/1/2018",14:27:55
"KLH 1035",4303.69219306501,2.46,27558.9358,4970.402,5220.6900655509,3.396,23822.0229,4938.242,1561,"7/1/2018",14:32:45
"KLH 1040",318.238313885941,2.466,2037.857,378.445,4485.65576564388,3.433,20468.0594,2523.09,1562,"7/1/2018",14:37:28
"KLH 921",539.563138035953,2.466,3455.123,641.831,6692.18171952846,3.426,30536.4433,3720.402,1563,"7/1/2018",14:42:04
"KLH 936",6.06398966676089,2.466,38.8311,4.255,442.624808666061,3.44,2019.6982,250.359,1564,"7/1/2018",14:46:51
"KLH 1029",2.38194199979236,2.466,15.2529,2.9,480.161538536536,3.436,2190.9784,271.793,1565,"7/1/2018",14:52:48
"KLH 1222",2.38770442266227,2.47,15.2898,2.879,437.785692535902,3.44,1997.6173,247.961,1566,"7/1/2018",14:57:15
"KLH 1083",3.04093517780597,2.466,19.4728,3.716,427.486531430672,3.436,1950.6222,242.155,1567,"7/1/2018",15:01:42
"KLH 1298",101.296116846771,2.47,648.6554,121.731,7508.25622996532,3.43,34260.1935,4160.522,1568,"7/1/2018",15:05:59
"KLH 1300",2.1245381619479,2.47,13.6046,2.632,439.177166617358,3.44,2003.9666,248.605,1569,"7/1/2018",15:10:24
"KLH 1037",2.43166436948822,2.463,15.5713,2.958,441.142429532239,3.436,2012.9341,249.719,1570,"7/1/2018",15:14:49
"KLH 1009",4.44318720810418,2.466,28.4522,5.373,487.135367404358,3.44,2222.8,276.216,1571,"7/1/2018",15:19:08
"KLH 1075",2.65015233255816,2.47,16.9704,3.246,431.610482523738,3.44,1969.4398,244.23,1572,"7/1/2018",15:23:39
"KLH 1051",398.464795202604,2.466,2551.5918,473.197,4958.39298248318,3.43,22625.1606,2765.418,1573,"7/1/2018",15:28:20
"KLH 1057",2.45157518021756,2.463,15.6988,2.984,432.883416241586,3.44,1975.2482,244.834,1574,"7/1/2018",15:32:42
"KLH 1063",2.14349637702666,2.466,13.726,2.644,428.174280310458,3.436,1953.7604,241.909,1575,"7/1/2018",15:37:15
"KLH 1233",696.089720026098,2.47,4457.4498,833.569,8166.28154640552,3.426,37262.7648,4490.109,1576,"7/1/2018",15:41:38
"KLH 1227",2.32858102703774,2.47,14.9112,2.843,446.985884317132,3.44,2039.5978,253,1577,"7/1/2018",15:46:03
"KLH 1021",540.794828595831,2.466,3463.0102,646.904,5077.19887299972,3.43,23167.2722,2832.495,1578,"7/1/2018",15:50:30
"KLH 1024",2752.33653402875,2.466,17624.7423,3276.559,8301.41107396274,3.43,37879.3612,4543.066,1579,"7/1/2018",15:55:07
"KLH 1097",98.4787137040865,2.466,630.614,117.941,3489.41717185218,3.43,15922.22,1965.234,1580,"7/1/2018",15:59:30
"KLH 1229",2.27033214545308,2.466,14.5382,2.727,413.605255422033,3.44,1887.2819,233.489,1581,"7/1/2018",16:03:55
"KLH 1071",3019.85411112806,2.486,19337.8062,4834.104,6365.04584082185,3.453,29043.7214,4940.98,1582,"7/1/2018",16:08:15
"KLH 1084",4151.10195493158,2.466,26581.8156,4913.581,7962.72459943412,3.426,36333.9339,4347.469,1583,"7/1/2018",16:13:43
"KLH 1221",3.36659795972725,2.47,21.5582,4.051,438.797307101287,3.44,2002.2333,247.923,1584,"7/1/2018",16:18:11
"KLH 1017",1720.26040945695,2.466,11015.7846,2058.261,9518.58379047975,3.42,43433.3236,4969.564,1585,"7/1/2018",16:22:42
"KLH 1019",1172.25999119691,2.466,7506.633,1403.427,7439.55276425423,3.43,33946.6994,4078.277,1586,"7/1/2018",16:27:57
"KLH 1207",4.22419952272574,2.76,27.0499,1.51,423.585657128356,3.44,1932.8225,238.85,1587,"7/1/2018",16:32:31
"KLH 1008",2898.50969745182,2.44,18560.7704,4882.24,4779.05125235518,3.38,21806.8238,4881.72,1588,"7/1/2018",16:36:46
"KLH 1010",294.379821850021,2.466,1885.0778,352.868,6875.86569998448,3.426,31374.5938,3810.617,1589,"7/1/2018",16:41:05
"KLH 1053",113.559848868662,2.47,727.1869,136.571,4443.4447234026,3.433,20275.4503,2471.836,1591,"7/1/2018",17:35:44
"KLH 1086",3040.85294225358,2.49,19472.2734,4860.645,8742.37555049951,3.426,39891.4833,4791.599,1592,"7/1/2018",17:40:00
"KLH 1202",4.80351822517772,2.47,30.7596,5.817,424.786028978223,3.443,1938.2998,240.013,1593,"7/1/2018",17:44:24
"KLH 1003",1847.28766522546,2.466,11829.2108,2207.999,9470.91623164175,3.426,43215.8164,4970.947,1594,"7/1/2018",17:48:49
"KLH 1060",499.329682929783,2.47,3197.4858,594.353,4695.82737009853,3.433,21427.073,2608.981,1595,"7/1/2018",17:53:38
"KLH 1014",384.66235572755,2.466,2463.2071,463.437,6838.1369036051,3.43,31202.4372,3766.859,1596,"7/1/2018",17:58:13
"KLH 1217",2.06063617174833,2.47,13.1954,2.619,423.600362357415,3.44,1932.8896,238.323,1597,"7/1/2018",18:03:23
"KLH 1046",4423.76384525414,2.456,28327.8214,4952.845,5237.47999641974,3.39,23898.6354,4921.152,1598,"7/1/2018",18:08:06
"KLH 1055",340.829041657838,2.47,2182.518,409.812,7173.08662821356,3.43,32730.8137,3924.28,1599,"7/1/2018",18:13:14
"KLH 1290",400.493511611897,2.466,2564.5828,478.888,5187.89352572418,3.433,23672.3722,2896.923,1600,"7/1/2018",18:17:33
"KLH 1225",3.09435861584916,2.466,19.8149,3.73,423.894357361632,3.44,1934.2311,239.022,1601,"7/1/2018",18:21:58
"KLH 1204",153.557544359474,2.47,983.3144,183.551,2700.75802976828,3.436,12323.5662,1520.762,1602,"7/1/2018",18:26:22
"KLH 1224",113.886026989214,2.47,729.2756,136.283,4180.05851102258,3.436,19073.6183,2335.82,1603,"7/1/2018",18:30:47
"KLH 1061",2.26102481745725,2.47,14.4786,2.758,539.30978309119,3.44,2460.872,304.04,1604,"7/1/2018",18:35:13
"KLH 1102",2.23778773011195,2.466,14.3298,2.72,601.015181509208,3.436,2742.4339,339.822,1605,"7/1/2018",18:39:38
"KLH 1289",290.751244470062,2.47,1861.842,348.738,6495.23357863023,3.43,29637.7684,3580.238,1606,"7/1/2018",18:44:04
"KLH 1159",1676.93624995431,2.463,10738.3559,2003.298,5455.49685153517,3.443,24893.4469,4978.026,1607,"7/1/2018",18:50:26
"KLH 1143",3201.015097736,2.463,20497.8808,3812.572,5492.25979269086,3.446,25061.1963,4959.286,1608,"7/1/2018",18:54:56
"KLH 1145",266.451060378716,2.47,1706.2344,318.846,5734.00492652083,3.433,26164.28,3161.79,1609,"7/1/2018",18:59:52
"KLH 1036",2396.37288691932,2.466,15345.309,2857.728,6980.28672066443,3.43,31851.0672,3850.47,1610,"7/1/2018",19:04:13
"KLH 1280",475.711213765165,2.47,3046.2436,570.331,3642.2135309196,3.433,16619.4302,2049.538,1611,"7/1/2018",19:08:34
"KLH 1288",218.846888618021,2.466,1401.3984,262.236,6567.14431835377,3.43,29965.8973,3602.005,1612,"7/1/2018",19:14:38
"KLH 1153",346.735618797421,2.466,2220.3411,415.032,5819.5476327362,3.426,26554.6116,3204.928,1613,"7/1/2018",19:20:31
